loss,accuracy
0.6954573392868042,0.8252142667770386
0.6875292658805847,0.8268095254898071
0.6801090240478516,0.8273809552192688
0.6710112690925598,0.8293571472167969
0.6634125113487244,0.8339285850524902
0.6573973894119263,0.8338809609413147
0.6508722305297852,0.8346904516220093
0.6438502669334412,0.8372142910957336
0.6382788419723511,0.8379047513008118
0.6329103112220764,0.8375476002693176
0.624707043170929,0.8413333296775818
0.6205480098724365,0.8414523601531982
0.6126347184181213,0.8460714221000671
0.6107836961746216,0.8427143096923828
0.6033055782318115,0.8462142944335938
0.598642110824585,0.8481904864311218
0.5928094983100891,0.8497856855392456
0.5890787839889526,0.8514999747276306
0.5858555436134338,0.8511666655540466
0.5807950496673584,0.8519999980926514
0.5752204060554504,0.854619026184082
0.5719649195671082,0.8547381162643433
0.5687749981880188,0.8549285531044006
0.5647688508033752,0.857785701751709
0.5612544417381287,0.8570476174354553
0.5571139454841614,0.8579285740852356
0.554203450679779,0.8573333621025085
0.5512208342552185,0.8595476150512695
0.5453826785087585,0.8620714545249939
0.5426297187805176,0.8614761829376221
0.5401502251625061,0.859499990940094
0.5360130071640015,0.8631190657615662
0.5333725214004517,0.8635714054107666
0.5287300944328308,0.8652619123458862
0.5268118977546692,0.8656666874885559
0.5243383646011353,0.8652142882347107
0.5209371447563171,0.8663809299468994
0.5177140235900879,0.8677142858505249
0.5166372060775757,0.8666428327560425
0.5137467980384827,0.86814284324646
0.5094119906425476,0.8694761991500854
0.5088332295417786,0.8681666851043701
0.5053680539131165,0.8692380785942078
0.5038341283798218,0.8703571557998657
0.500217080116272,0.871999979019165
0.4981202483177185,0.8715237975120544
0.49514949321746826,0.8730714321136475
0.4934081435203552,0.8725237846374512
0.49071744084358215,0.8743095397949219
0.4897271692752838,0.8731904625892639
