loss,accuracy
2.1122756004333496,0.25771427154541016
1.7907851934432983,0.4254523813724518
1.6110990047454834,0.5078809261322021
1.4769980907440186,0.5667619109153748
1.3726485967636108,0.613261878490448
1.291314959526062,0.6415714025497437
1.2203775644302368,0.6708809733390808
1.1702855825424194,0.6828809380531311
1.1212352514266968,0.6994524002075195
1.0764415264129639,0.7137143015861511
1.0419529676437378,0.722000002861023
1.0074516534805298,0.7329999804496765
0.973321795463562,0.7487381100654602
0.9497199654579163,0.7539047598838806
0.921983540058136,0.7638571262359619
0.8997707366943359,0.7693333625793457
0.8810319900512695,0.7723333239555359
0.8602566123008728,0.7803571224212646
0.8418765664100647,0.7842142581939697
0.8265498280525208,0.7885714173316956
0.8132302761077881,0.7894523739814758
0.7924680709838867,0.8003809452056885
0.7812401652336121,0.8016666769981384
0.768858790397644,0.8059523701667786
0.7546713352203369,0.8108095526695251
0.7460720539093018,0.809166669845581
0.734934389591217,0.8148333430290222
0.7248367667198181,0.8147618770599365
0.714484453201294,0.8169524073600769
0.7037501931190491,0.8228333592414856
